full_webcnp_(January_2020),Definition,Test,Field Type,Notes
PVTB.PVTB_QID000005_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000005_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000005_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000006_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000006_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000006_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000006_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000007_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000007_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000007_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000007_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000008_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000008_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000008_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000008_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000009_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000009_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000009_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000009_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000010_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000010_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000010_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000010_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000011_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000011_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000011_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000011_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000012_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000012_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000012_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000012_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000013_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000013_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000013_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000013_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000014_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000014_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000014_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000014_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000015_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000015_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000015_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000015_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000016_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000016_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000016_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000016_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000017_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000017_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000017_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000017_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000018_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000018_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000018_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000018_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000019_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000019_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000019_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000019_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000020_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000020_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000020_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000020_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000021_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000021_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000021_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000021_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000022_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000022_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000022_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000022_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000023_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000023_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000023_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000023_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000024_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000024_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000024_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000024_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000025_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000025_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000025_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000025_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000026_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000026_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000026_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000026_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000027_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000027_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000027_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000027_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000028_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000028_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000028_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000028_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000029_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000029_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000029_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000029_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000030_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000030_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000030_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000030_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000031_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000031_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000031_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000031_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000032_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000032_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000032_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000032_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000033_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000033_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000033_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000033_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000034_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000034_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000034_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000034_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000035_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000035_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000035_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000035_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000036_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000036_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000036_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000036_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000037_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000037_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000037_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000037_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000038_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000038_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000038_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000038_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000039_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000039_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000039_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000039_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000040_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000040_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000040_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000040_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000041_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000041_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000041_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000041_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000042_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000042_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000042_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000042_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000043_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000043_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000043_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000043_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000044_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000044_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000044_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000044_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000045_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000045_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000045_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000045_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000046_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000046_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000046_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000046_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000047_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000047_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000047_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000047_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000048_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000048_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000048_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000048_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000049_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000049_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000049_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000049_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000050_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000050_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000050_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000050_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000051_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000051_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000051_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000051_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000052_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000052_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000052_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000052_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000053_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000053_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000053_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000053_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000054_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000054_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000054_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000054_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000055_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000055_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000055_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000055_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000056_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000056_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000056_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000056_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000057_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000057_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000057_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000057_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000058_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000058_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000058_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000058_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000059_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000059_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000059_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000059_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000060_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000060_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000060_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000060_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000061_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000061_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000061_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000061_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000062_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000062_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000062_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000062_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000063_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000063_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000063_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000063_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000064_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000064_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000064_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000064_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000065_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000065_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000065_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000065_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000066_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000066_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000066_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000066_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000067_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000067_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000067_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000067_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000068_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000068_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000068_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000068_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000069_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000069_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000069_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000069_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000070_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
PVTB.PVTB_QID000070_TTR,Trial Reponse Time (ms),PVTB,integer/null,Number-variant | Null
PVTB.PVTB_QID000070_TRIAL,Trial Position/Order of Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000070_QID,Trial Question ID,PVTB,integer,0-200 | Null
PVTB.PVTB_QID000071_RESP,Trial Reponse,PVTB,string,1 | FS | CFS | BS | 
